number,id,type,site,country,lat,long,code,family
189,11888,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,ACIRGI...,ACIRGI
305,12552,Ignotus,Sevilla,Spain,37.3927558826,-5.9561129741,LCA,LCA
1117,26461,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,IICAMILIMELISSI,CAMILIMELISSI
1118,26463,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,CA…,
1119,26531,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,DOMS,DOM
1277,28062,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,CAS…,
1306,29261,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,LFCFP,LFC
1322,29612,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,LVAGAL,
1323,29622,Dressel 20,Sevilla,Spain,37.3927558826,-5.9561129741,LVALEAME,LVALERIAMETISTI
53,10990,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIR...,VIR...
54,10991,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIR...,VIR...
55,10992,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIR...,VIR...
56,10993,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIR...,VIR...
57,11022,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,PORPAHS,PAH
58,11042,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,...CVV...,
59,11044,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,CFSCVFM,CFSCVF
60,11045,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,...FCVF...,
495,13441,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,LFFV,LFFV
496,13442,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,LFFV,LFFV
497,13445,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,...SQFSN,
498,13446,Tegula,Villar de Brenes,Spain,37.536615,-5.900952,ALNPHILOX,
499,13447,Tegula,Villar de Brenes,Spain,37.536615,-5.900952,ALNPHILOX,
500,13448,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,...M...,
501,13449,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,GFS...,GFS...
502,13450,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,...ROM...,
1309,29406,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,HERMESF,HERMES
1318,29599,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,QVCVIR,QVC
1319,29600,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,QVCVIR,QVC
1325,29656,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRG,VIRG
1326,29657,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRG,VIRG
1327,29660,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRCIN,VIRGIN
1328,29661,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRI,VIRI
1329,29663,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRIII,VIRIII
1330,29664,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRIII,VIRIII
1331,29665,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRIIII,VIRIIII
1332,29666,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRAV,VIRAV
1333,29667,Dressel 20,Villar de Brenes,Spain,37.536615,-5.900952,VIRAV,VIRAV
2989,37200,Amphora incerta,Villar de Brenes,Spain,37.536615,-5.900952,MACRINVS,MACRINVS
2990,37217,Amphora incerta,Villar de Brenes,Spain,37.536615,-5.900952,PASCASIVS,PASCASIVS
589,13604,Dressel 20,Los Villares,Spain,37.587337,-5.79237,PNN,PNN
443,13135,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,...ERNI,
444,13136,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,...ISP...,
445,13137,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,STT,STT
590,13610,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,LSPBOEQ,LSPBO
591,13611,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,LSPBOEQ,LSPBO
592,13612,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,..STATN...,
593,13613,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,...LERP,
594,13614,Dressel 20,Guadajoz,Spain,37.581745,-5.669186,LHLHE,LHLHE
440,13128,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBOEQ,LSPBO
441,13131,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LEFPO,LEF
595,13615,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBOEQ,LSPBO
596,13616,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBOEQ,LSPBO
597,13617,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBOEQ,LSPBO
598,13618,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBQ,LSPBO
599,13619,Dressel 20,Adelfa,Spain,37.583256,-5.658615,TATILIASIATICI,TATILIASIATICI
600,13622,Dressel 20,Adelfa,Spain,37.583256,-5.658615,GM...,GM...
601,13623,Dressel 20,Adelfa,Spain,37.583256,-5.658615,ME...,
1405,33364,Dressel 20,Adelfa,Spain,37.583256,-5.658615,ACIRGIF,ACIRGI
1406,33365,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LCFS,LCFPC
1407,33366,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LCSPC,LCS
1408,33367,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LCSPC,LCS
1409,33368,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LCSPC,LCS
1410,33369,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LCSPC,LCS
1411,33371,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LERPC,LER
1412,33372,Dressel 20,Adelfa,Spain,37.583256,-5.658615,IIIFFBOV,
1413,33373,Dressel 20,Adelfa,Spain,37.583256,-5.658615,CFS…,CFS
1414,33374,Dressel 20,Adelfa,Spain,37.583256,-5.658615,MFX & LLFX,MFX
1415,33375,Dressel 20,Adelfa,Spain,37.583256,-5.658615,MFX & LLFX,MFX
1416,33376,Dressel 20,Adelfa,Spain,37.583256,-5.658615,GIF,GIF
1417,33377,Dressel 20,Adelfa,Spain,37.583256,-5.658615,MAS,MAS
1418,33378,Dressel 20,Adelfa,Spain,37.583256,-5.658615,MAS,MAS
1419,33379,Dressel 20,Adelfa,Spain,37.583256,-5.658615,MSFPC,MSFPC
1420,33381,Dressel 20,Adelfa,Spain,37.583256,-5.658615,LSPBOEQ,LSPBO
442,13133,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,PR...I,
602,13624,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,TATILIASIATICI,TATILIASIATICI
603,13625,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,TATILIASIATICI,TATILIASIATICI
604,13626,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,LERPC,LER
605,13627,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,LERPC,LER
606,13630,Dressel 20,Juan Barba,Spain,37.585268,-5.64988,...EPSF,
422,13095,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,...PATI,
423,13098,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCS,MMCS
424,13100,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSV,MMCS
425,13101,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
426,13102,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
427,13103,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSAE & MMCSAPI,MMCS
428,13106,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,...CIM...,
429,13107,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DEF,DEF
430,13108,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DEF,DEF
431,13109,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
432,13110,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
433,13114,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,...CCLMM,
434,13116,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,BCCLLIMI,
435,13118,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLLIMI,IICCLLM
436,13119,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,ELIMFP,ELIMFP
437,13122,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PHIII,
438,13123,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,NPHILO,
472,13228,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
473,13229,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
474,13230,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
475,13231,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
476,13232,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
477,13233,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
478,13234,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,CCLM...,
503,13481,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
504,13482,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
505,13483,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
506,13484,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
507,13485,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
508,13486,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
509,13487,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
510,13490,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MM,
511,13491,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MM,
512,13492,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
513,13493,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
514,13494,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
515,13495,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
516,13496,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
517,13497,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
518,13498,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
519,13499,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
520,13500,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
521,13501,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
522,13502,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
523,13503,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
524,13504,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
525,13505,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
526,13506,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
527,13507,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
528,13508,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
529,13509,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
530,13510,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
531,13511,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
532,13512,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
533,13513,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
534,13514,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
535,13515,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
536,13516,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
537,13517,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
538,13518,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
539,13519,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
540,13520,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
541,13521,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
542,13522,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN...,PNN
543,13523,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
544,13524,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
545,13525,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
546,13526,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
547,13527,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
548,13528,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
549,13529,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNNF,PNN
550,13530,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNPHILO,PNPHI
551,13532,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
552,13533,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM...,IICCLLM
553,13535,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCL...,IICCLLM
554,13536,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,IICCLM,IICCLLM
555,13540,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSAN,MMCS
556,13543,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSANF,MMCS
557,13544,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSAE,MMCS
558,13545,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
559,13546,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
560,13547,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
561,13548,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
562,13549,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSVR,MMCS
563,13555,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,...MCS,
564,13556,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
565,13557,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
566,13558,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
567,13559,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
568,13560,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
569,13561,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
570,13562,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFF,PNN
571,13563,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFN,DFN
572,13564,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFN,DFN
573,13565,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFN,DFN
574,13566,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,DFN,DFN
575,13567,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,ANPHILOD,
576,13568,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNPHI...,PNPHI
577,13569,Dolium,El Tejarillo,Spain,37.61618,-5.644928,OPTATI,OPTATI
578,13570,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
579,13571,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
580,13572,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
581,13573,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
582,13574,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,MMCSAE,MMCS
1282,28200,Dressel 20,El Tejarillo,Spain,37.61618,-5.644928,PNN,PNN
324,12794,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LIC...,
439,13124,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LMVE,LMVE
494,13269,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LICISPECFIIPM,LICISPE
607,13632,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,...AFRICAN,
608,13633,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,...AFRICAN,
609,13634,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,...AFRICAN,
610,13636,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LGG,LGG
611,13654,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LITLFLFIVE,LIT
612,13655,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LITLFLFIVE,LIT
613,13656,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LITLFLFIVE,LIT
614,13657,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LITLFLFIVE,LIT
615,13658,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LITLFLFIVE,LIT
616,13661,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,...VATR,
617,13662,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LM...,
618,13663,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,...ENAT & ...ENTA,
619,13665,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LGG,LGG
620,13666,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LGG,LGG
621,13669,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,LSPBOEQ,LSPBO
622,13670,Dressel 20,Villar Tesoro,Spain,37.588861,-5.626636,FONEID...IVNIOR...,FONTANI
419,13091,Dressel 20,Mejía,Spain,37.605064,-5.619801,TFANN,TFA
420,13092,Dressel 20,Mejía,Spain,37.605064,-5.619801,STA,STA
421,13094,Dressel 20,Mejía,Spain,37.605064,-5.619801,LMVE,LMVE
479,13236,Dressel 20,Mejía,Spain,37.605064,-5.619801,TFANN?,TFA
480,13237,Dressel 20,Mejía,Spain,37.605064,-5.619801,TFAN?,TFA
623,13671,Dressel 20,Mejía,Spain,37.605064,-5.619801,TFANN,TFA
624,13672,Dressel 20,Mejía,Spain,37.605064,-5.619801,STLA,STLA 
625,13673,Dressel 20,Mejía,Spain,37.605064,-5.619801,ST...,ST...
626,13674,Dressel 20,Mejía,Spain,37.605064,-5.619801,LMVE,LMVE
304,12524,Dressel 20,Tostoneras,Spain,37.612696,-5.60742,...RFP,
627,13675,Dressel 20,Tostoneras,Spain,37.612696,-5.60742,TATILIASIATICI,TATILIASIATICI
628,13677,Dressel 20,Tostoneras,Spain,37.612696,-5.60742,TATILIASIATICI,TATILIASIATICI
629,13680,Dressel 20,Tostoneras,Spain,37.612696,-5.60742,PNN,PNN
650,13934,Dressel 20,Tostoneras,Spain,37.612696,-5.60742,...REL,
303,12523,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
314,12658,Dressel 20,Arva,Spain,37.623647,-5.604665,DFN,DFN
315,12659,Dressel 20,Arva,Spain,37.623647,-5.604665,CMM,CMM
316,12660,Dressel 20,Arva,Spain,37.623647,-5.604665,CMM,CMM
370,12969,Dressel 20,Arva,Spain,37.623647,-5.604665,SALSA,SALS
371,12980,Dressel 20,Arva,Spain,37.623647,-5.604665,CANNIRVFINI,
372,12981,Dressel 20,Arva,Spain,37.623647,-5.604665,CANNIRVFINI,
373,12983,Dressel 20,Arva,Spain,37.623647,-5.604665,MNR & NNR,
374,12987,Dressel 20,Arva,Spain,37.623647,-5.604665,CICEL,PCICELI
375,12989,Dressel 20,Arva,Spain,37.623647,-5.604665,CLODICIII,
376,12991,Dressel 20,Arva,Spain,37.623647,-5.604665,CSTLACC,CSTLA
377,12992,Dressel 20,Arva,Spain,37.623647,-5.604665,STLA,STLA 
378,12995,Dressel 20,Arva,Spain,37.623647,-5.604665,STATI,STATI
379,12996,Dressel 20,Arva,Spain,37.623647,-5.604665,GST,GST
380,13000,Dressel 20,Arva,Spain,37.623647,-5.604665,GRATI,
381,13002,Dressel 20,Arva,Spain,37.623647,-5.604665,LGG,LGG
382,13003,Dressel 20,Arva,Spain,37.623647,-5.604665,LGG,LGG
383,13008,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
384,13009,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
385,13010,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
386,13011,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
387,13012,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
388,13013,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
389,13014,Dressel 20,Arva,Spain,37.623647,-5.604665,PN...,
390,13015,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
391,13016,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN?,PNN
392,13017,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNF,PNN
393,13018,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN,PNN
394,13020,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNSIS,PNN
395,13021,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNSIS,PNN
396,13023,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNSIS,PNN
397,13031,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNF,PNN
398,13032,Dressel 20,Arva,Spain,37.623647,-5.604665,PNNF,PNN
399,13033,Dressel 20,Arva,Spain,37.623647,-5.604665,...NIII,
400,13037,Dressel 20,Arva,Spain,37.623647,-5.604665,PNN?,PNN
401,13039,Dressel 20,Arva,Spain,37.623647,-5.604665,COR...,COR
402,13041,Dressel 20,Arva,Spain,37.623647,-5.604665,MIM,MIM
403,13045,Dressel 20,Arva,Spain,37.623647,-5.604665,M...,
404,13059,Dressel 20,Arva,Spain,37.623647,-5.604665,NPM,
405,13060,Dressel 20,Arva,Spain,37.623647,-5.604665,DEF,DEF
406,13061,Dressel 20,Arva,Spain,37.623647,-5.604665,DFF,PNN
407,13062,Dressel 20,Arva,Spain,37.623647,-5.604665,DED,
408,13064,Dressel 20,Arva,Spain,37.623647,-5.604665,CM...,
409,13065,Dressel 20,Arva,Spain,37.623647,-5.604665,CN...,CN...
410,13066,Dressel 20,Arva,Spain,37.623647,-5.604665,...NFOI,
411,13070,Dressel 20,Arva,Spain,37.623647,-5.604665,AV...,
412,13071,Dressel 20,Arva,Spain,37.623647,-5.604665,POPVA,
413,13072,Dressel 20,Arva,Spain,37.623647,-5.604665,...R...,
